tissue,tf,plus,minus,unknown,total,score,imputed
STOMACH,RBPJ,1142,1079,0,2221,0.028365601080594327,False
STOMACH,FOXD3,1438,1146,0,2584,0.1130030959752322,False
STOMACH,MXI1,1057,1102,0,2159,-0.020842982862436313,False
STOMACH,NKX2-8,857,1282,0,2139,-0.19869097709209912,False
STOMACH,MEF2A,1510,1068,0,2578,0.17145073700543056,False
STOMACH,POU5F1,905,1070,0,1975,-0.08354430379746836,False
STOMACH,SOX9,604,1354,0,1958,-0.3830439223697651,False
MESENCHYMAL,ZNF384,12372,11303,0,23675,0.04515311510031679,False
MESENCHYMAL,NFIX,6321,5901,0,12222,0.03436426116838488,False
MESENCHYMAL,MEIS1,3744,5878,0,9622,-0.22178341301184784,False
MESENCHYMAL,SOX15,4742,5003,0,9745,-0.026782965623396614,False
MESENCHYMAL,RHOXF1,5462,4543,0,10005,0.09185407296351825,False
MESENCHYMAL,GSX1,4433,4479,0,8912,-0.005161579892280072,False
MESENCHYMAL,SRY,4085,4154,0,8239,-0.008374802767326132,False
MESENCHYMAL,SHOX,4268,4181,0,8449,0.010297076577109716,False
MESENCHYMAL,ISL2,3991,3989,0,7980,0.0002506265664160401,False
MESENCHYMAL,NFATC3,4203,3237,0,7440,0.12983870967741937,False
MESENCHYMAL,ALX3,3275,3263,0,6538,0.0018354236769654328,False
MESENCHYMAL,FOXP3,3028,3008,0,6036,0.0033134526176275677,False
MESENCHYMAL,HIC2,3683,2884,0,6567,0.12166895081467946,False
MESENCHYMAL,NKX6-2,2868,3187,0,6055,-0.05268373245251858,False
MESENCHYMAL,ZNF354C,2918,2805,0,5723,0.019744889044207584,False
MESENCHYMAL,HOXA7,2419,2579,0,4998,-0.03201280512204882,False
MESENCHYMAL,HOXA6,2145,2814,0,4959,-0.13490623109497882,False
MESENCHYMAL,MEOX2,2626,2427,0,5053,0.03938254502275876,False
MESENCHYMAL,HOXA10,2807,2251,0,5058,0.10992487149070779,False
MESENCHYMAL,VAX1,2356,2430,0,4786,-0.015461763476807356,False
MESENCHYMAL,BARHL2,2450,2304,0,4754,0.030710980227177113,False
MESENCHYMAL,VAX2,2052,2221,0,4273,-0.039550666978703485,False
MESENCHYMAL,HOXB3,2574,2241,0,4815,0.0691588785046729,False
MESENCHYMAL,GSC2,1607,2831,0,4438,-0.2757999098693105,False
MESENCHYMAL,MSANTD3,2363,2040,0,4403,0.07335907335907337,False
MESENCHYMAL,TBX5,2243,1914,0,4157,0.07914361318258359,False
MESENCHYMAL,NKX2-4,2126,2018,0,4144,0.026061776061776062,False
MESENCHYMAL,NR2C1,2154,1746,0,3900,0.10461538461538461,False
MESENCHYMAL,OTX2,2355,1950,0,4305,0.09407665505226481,False
MESENCHYMAL,BARX2,2182,1858,0,4040,0.0801980198019802,False
MESENCHYMAL,ZNF354A,2097,1993,0,4090,0.025427872860635695,False
MESENCHYMAL,VSX1,2087,1803,0,3890,0.07300771208226221,False
MESENCHYMAL,MEIS3,1560,1934,0,3494,-0.1070406410990269,False
MESENCHYMAL,RBPJ,1656,1525,0,3181,0.04118201823325998,False
MESENCHYMAL,FOXD3,1830,1805,0,3635,0.0068775790921595595,False
MESENCHYMAL,MXI1,1806,1608,0,3414,0.05799648506151142,False
MESENCHYMAL,NKX2-8,1290,1962,0,3252,-0.2066420664206642,False
MESENCHYMAL,MEF2A,1795,1589,0,3384,0.060874704491725766,False
MESENCHYMAL,POU5F1,1472,1467,0,2939,0.001701258931609391,False
MESENCHYMAL,SOX9,1109,1857,0,2966,-0.2521915037086986,False
HEPATOCYTE,ZNF384,2888,3138,0,6026,-0.0414868901427149,False
HEPATOCYTE,NFIX,1799,1861,0,3660,-0.016939890710382512,False
HEPATOCYTE,MEIS1,1123,1792,0,2915,-0.2295025728987993,False
HEPATOCYTE,SOX15,1424,1439,0,2863,-0.005239259517988124,False
HEPATOCYTE,RHOXF1,1516,1281,0,2797,0.08401859134787272,False
HEPATOCYTE,GSX1,1374,1273,0,2647,0.03815640347563279,False
HEPATOCYTE,SRY,1332,1250,0,2582,0.031758326878388844,False
HEPATOCYTE,SHOX,1306,1203,0,2509,0.04105221203666799,False
HEPATOCYTE,ISL2,1247,1118,0,2365,0.05454545454545454,False
HEPATOCYTE,NFATC3,1402,972,0,2374,0.18112889637742208,False
HEPATOCYTE,ALX3,977,938,0,1915,0.020365535248041775,False
HEPATOCYTE,FOXP3,1144,853,0,1997,0.1457185778668002,False
HEPATOCYTE,HIC2,962,851,0,1813,0.061224489795918366,False
HEPATOCYTE,NKX6-2,863,896,0,1759,-0.018760659465605456,False
HEPATOCYTE,ZNF354C,903,846,0,1749,0.032590051457975985,False
HEPATOCYTE,HOXA7,754,803,0,1557,-0.03147077713551702,False
HEPATOCYTE,HOXA6,761,820,0,1581,-0.03731815306767868,False
HEPATOCYTE,MEOX2,795,687,0,1482,0.0728744939271255,False
HEPATOCYTE,HOXA10,804,653,0,1457,0.10363761153054221,False
HEPATOCYTE,VAX1,725,690,0,1415,0.024734982332155476,False
HEPATOCYTE,BARHL2,777,667,0,1444,0.07617728531855955,False
HEPATOCYTE,VAX2,721,667,0,1388,0.03890489913544669,False
HEPATOCYTE,HOXB3,691,686,0,1377,0.0036310820624546117,False
HEPATOCYTE,GSC2,537,763,0,1300,-0.17384615384615384,False
HEPATOCYTE,MSANTD3,620,618,0,1238,0.0016155088852988692,False
HEPATOCYTE,TBX5,615,573,0,1188,0.03535353535353535,False
HEPATOCYTE,NKX2-4,554,618,0,1172,-0.05460750853242321,False
HEPATOCYTE,NR2C1,643,508,0,1151,0.11728931364031277,False
HEPATOCYTE,OTX2,716,573,0,1289,0.11093871217998448,False
HEPATOCYTE,BARX2,616,551,0,1167,0.055698371893744644,False
HEPATOCYTE,ZNF354A,520,571,0,1091,-0.04674610449129239,False
HEPATOCYTE,VSX1,570,567,0,1137,0.002638522427440633,False
HEPATOCYTE,MEIS3,441,524,0,965,-0.08601036269430051,False
HEPATOCYTE,RBPJ,576,448,0,1024,0.125,False
HEPATOCYTE,FOXD3,499,503,0,1002,-0.003992015968063872,False
HEPATOCYTE,MXI1,491,456,0,947,0.03695881731784583,False
HEPATOCYTE,NKX2-8,383,590,0,973,-0.21274409044193218,False
HEPATOCYTE,MEF2A,471,475,0,946,-0.004228329809725159,False
HEPATOCYTE,POU5F1,459,426,0,885,0.03728813559322034,False
HEPATOCYTE,SOX9,320,546,0,866,-0.26096997690531176,False
SPLEEN,ZNF384,3396,2143,0,5539,0.22621411807185413,False
